,,,,,Submission Delinquency Report
,Run Date:,,2023-01-03
,For:,,Year: 22, Period: 3, Week: 5
,Filter For all units

Sector,Unit #,Fiscal Year,Period,Week,UserName - Purchases,Date Purchases Submitted,Username - Sales,Date Sales Submitted,Data Entered (Y/N), Forced Submission
27,8650,22,3,5,christina.kent,12/30/2022 4:24:42 PM,,1/1/1900 12:00:00 AM,Y,N
27,8690,22,3,5,ORBIT_System_User,1/3/2023 2:32:15 AM,,1/1/1900 12:00:00 AM,N,Y
27,8693,22,3,5,ORBIT_System_User,1/3/2023 12:12:17 AM,ORBIT_System_User,1/3/2023 12:12:17 AM,N,Y
27,8694,22,3,5,ORBIT_System_User,1/3/2023 12:13:29 AM,ORBIT_System_User,1/3/2023 12:13:29 AM,N,Y
27,8695,22,3,5,ORBIT_System_User,1/3/2023 12:13:32 AM,ORBIT_System_User,1/3/2023 12:13:32 AM,N,Y
27,8697,22,3,5,ORBIT_System_User,1/3/2023 12:13:33 AM,,1/1/1900 12:00:00 AM,N,Y
27,8698,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
27,8699,22,3,5,ORBIT_System_User,1/3/2023 12:14:15 AM,,1/1/1900 12:00:00 AM,N,Y
27,8731,22,3,5,ORBIT_System_User,1/3/2023 12:12:55 AM,,1/1/1900 12:00:00 AM,N,Y
17,8910,22,3,5,ORBIT_System_User,1/3/2023 2:30:35 AM,,1/1/1900 12:00:00 AM,N,Y
22,9136,22,3,5,ORBIT_System_User,1/3/2023 2:12:56 AM,,1/1/1900 12:00:00 AM,N,Y
22,9137,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
22,9138,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
13,9176,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
11,9700,22,3,5,ORBIT_System_User,1/3/2023 2:12:57 AM,ORBIT_System_User,1/3/2023 2:12:57 AM,N,Y
16,10701,22,3,5,andy.davidson,1/2/2023 2:16:52 PM,andy.davidson,1/2/2023 2:16:43 PM,Y,N
16,10703,22,3,5,andy.davidson,1/2/2023 2:17:26 PM,andy.davidson,1/2/2023 2:17:12 PM,Y,N
16,10721,22,3,5,doretta.deroches,1/2/2023 5:32:32 PM,doretta.deroches,1/2/2023 5:32:55 PM,Y,N
16,10723,22,3,5,doretta.deroches,1/2/2023 4:50:26 PM,doretta.deroches,1/2/2023 4:50:43 PM,Y,N
